Geoid,Time,ID,Month,Year,DateGen,GasPrice,Crashes,Fatalities,Injuries,DWI,TotalTrips,EmpPrcnt,MedHHInc,VehOwn0,PopDensity,TripsRideAustin,Airport,Commercial,Period,LogCrashes,LogPopDensity,LogInjuries,LogDWI,LogFatalities,LogTripsRideAustin,"Transfer Function Model (1) - Num0,0",Transfer Function Model (1) - Intercept
48453000101,1,1,1,2012,12-Jan,3.208,8,0,11,4,26347.98341,0.665,68939,0.0168,32504.51947,0,0,0,1,2.197224577,10.38916518,2.48490665,1.609437912,0,0,-5144.5066,125.0993
48453000101,2,219,2,2012,12-Feb,3.468,12,0,9,2,24885.31239,0.665,68939,0.0168,32504.51947,0,0,0,1,2.564949357,10.38916518,2.302585093,1.098612289,0,0,-5144.5066,125.0993
48453000101,3,437,3,2012,12-Mar,3.699,7,0,5,0,23571.83207,0.665,68939,0.0168,32504.51947,0,0,0,1,2.079441542,10.38916518,1.791759469,0,0,0,-5144.5066,125.0993
48453000101,4,655,4,2012,12-Apr,3.784,10,0,4,3,23009.44971,0.665,68939,0.0168,32504.51947,0,0,0,1,2.397895273,10.38916518,1.609437912,1.386294361,0,0,-5144.5066,125.0993
48453000101,5,873,5,2012,12-May,3.534,9,0,4,0,24170.47706,0.665,68939,0.0168,32504.51947,0,0,0,1,2.302585093,10.38916518,1.609437912,0,0,0,-5144.5066,125.0993
48453000101,6,1091,6,2012,12-Jun,3.309,9,0,8,2,25202.89174,0.665,68939,0.0168,32504.51947,0,0,0,1,2.302585093,10.38916518,2.197224577,1.098612289,0,0,-5144.5066,125.0993
48453000101,7,1309,7,2012,12-Jul,3.263,10,0,2,2,25314.43974,0.665,68939,0.0168,32504.51947,0,0,0,1,2.397895273,10.38916518,1.098612289,1.098612289,0,0,-5144.5066,125.0993
48453000101,8,1527,8,2012,12-Aug,3.521,5,0,6,3,23862.05774,0.665,68939,0.0168,32504.51947,0,0,0,1,1.791759469,10.38916518,1.945910149,1.386294361,0,0,-5144.5066,125.0993
48453000101,9,1745,9,2012,12-Sep,3.648,7,0,3,1,23083.6061,0.665,68939,0.0168,32504.51947,0,0,0,1,2.079441542,10.38916518,1.386294361,0.693147181,0,0,-5144.5066,125.0993
48453000101,10,1963,10,2012,12-Oct,3.478,6,0,1,4,23833.07293,0.665,68939,0.0168,32504.51947,0,0,0,1,1.945910149,10.38916518,0.693147181,1.609437912,0,0,-5144.5066,125.0993
48453000101,11,2181,11,2012,12-Nov,3.183,9,0,10,3,25225.60307,0.665,68939,0.0168,32504.51947,0,0,0,1,2.302585093,10.38916518,2.397895273,1.386294361,0,0,-5144.5066,125.0993
48453000101,12,2399,12,2012,12-Dec,3.081,13,0,15,0,25625.24345,0.665,68939,0.0168,32504.51947,0,0,0,1,2.63905733,10.38916518,2.772588722,0,0,0,-5144.5066,125.0993
